text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @captain_161: 칠성검이 총이고 적토마가 페라리인 마당에 제가 감히 제갈량이 부채를 들고나올거라고 생각했습니다 https://t.co/F6gP9Jxvxd,FALSE,0,NA,2019-10-22 08:51:06,FALSE,NA,1186565629731463168,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,pain_PL,3875,TRUE,FALSE,NA,NA
RT @captain_161: 칠성검이 총이고 적토마가 페라리인 마당에 제가 감히 제갈량이 부채를 들고나올거라고 생각했습니다 https://t.co/F6gP9Jxvxd,FALSE,0,NA,2019-10-22 08:50:11,FALSE,NA,1186565398696620032,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,utBGxuLtytrErsj,3875,TRUE,FALSE,NA,NA
RT @nepher0809: 돈덩어리나 페라리였으면 바로 가져갔을거면서 https://t.co/QqUlzv2uOW,FALSE,0,NA,2019-10-22 08:49:38,FALSE,NA,1186565262151049222,NA,<a href="https://about.twitter.com/products/tweetdeck" rel="nofollow">TweetDeck</a>,sakota_,10,TRUE,FALSE,NA,NA
RT @captain_161: 칠성검이 총이고 적토마가 페라리인 마당에 제가 감히 제갈량이 부채를 들고나올거라고 생각했습니다 https://t.co/F6gP9Jxvxd,FALSE,0,NA,2019-10-22 08:49:37,FALSE,NA,1186565259441532928,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,Ricaa___,3875,TRUE,FALSE,NA,NA
RT @captain_161: 칠성검이 총이고 적토마가 페라리인 마당에 제가 감히 제갈량이 부채를 들고나올거라고 생각했습니다 https://t.co/F6gP9Jxvxd,FALSE,0,NA,2019-10-22 08:49:26,FALSE,NA,1186565211295105024,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,Klara_myvv,3875,TRUE,FALSE,NA,NA
RT @captain_161: 칠성검이 총이고 적토마가 페라리인 마당에 제가 감히 제갈량이 부채를 들고나올거라고 생각했습니다 https://t.co/F6gP9Jxvxd,FALSE,0,NA,2019-10-22 08:48:56,FALSE,NA,1186565086757847040,NA,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,chachacha0125,3875,TRUE,FALSE,NA,NA
RT @captain_161: 칠성검이 총이고 적토마가 페라리인 마당에 제가 감히 제갈량이 부채를 들고나올거라고 생각했습니다 https://t.co/F6gP9Jxvxd,FALSE,0,NA,2019-10-22 08:48:40,FALSE,NA,1186565019657355264,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,clerain155,3875,TRUE,FALSE,NA,NA
RT @captain_161: 칠성검이 총이고 적토마가 페라리인 마당에 제가 감히 제갈량이 부채를 들고나올거라고 생각했습니다 https://t.co/F6gP9Jxvxd,FALSE,0,NA,2019-10-22 08:48:33,FALSE,NA,1186564989307346944,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,asora4290duku,3875,TRUE,FALSE,NA,NA
RT @captain_161: 칠성검이 총이고 적토마가 페라리인 마당에 제가 감히 제갈량이 부채를 들고나올거라고 생각했습니다 https://t.co/F6gP9Jxvxd,FALSE,0,NA,2019-10-22 08:48:23,FALSE,NA,1186564949029482497,NA,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,noi_ayaka,3875,TRUE,FALSE,NA,NA
RT @captain_161: 칠성검이 총이고 적토마가 페라리인 마당에 제가 감히 제갈량이 부채를 들고나올거라고 생각했습니다 https://t.co/F6gP9Jxvxd,FALSE,0,NA,2019-10-22 08:48:15,FALSE,NA,1186564913784745984,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,sheudhsj2848,3875,TRUE,FALSE,NA,NA
